dataset,model,accuracy,precision,recall,f1_score,split
IMDb,Baseline,0.5,0.25,0.5,0.3333333333333333,
IMDb,Naive Bayes,0.8844,0.8851187239674169,0.8844,0.8843460404886504,
IMDb,Logistic Regression,0.9072,0.90770516300517,0.9072,0.907171245364964,
IMDb,Linear SVM,0.9052,0.9053891383563916,0.9052,0.905188941238106,
Twitter,Baseline,0.5,0.25,0.5,0.3333333333333333,
Twitter,Naive Bayes,0.7636,0.7640747430099937,0.7636,0.7634937046106002,
Twitter,Logistic Regression,0.7732,0.7732251804326287,0.7732,0.7731947744076024,
Twitter,Linear SVM,0.7556,0.7556235582671299,0.7556,0.7555943688942592,
IMDb,DistilBERT,0.808,0.8080174305900448,0.808,0.8079569582552721,test
Twitter,DistilBERT,0.712,0.7120328568449086,0.712,0.7118338967301622,test
IMDb,DistilBERT (Fair 5k),0.8536,0.8538466169381412,0.8536,0.8535744868185833,test
Twitter,DistilBERT (Fair 5k),0.8034,0.8035690758324756,0.8034,0.8033726216038322,test
