text,actual_label,predicted_label,model
"Clearly this film was made for a newer generation that may or may not have had an inkling of Charles Bukowski's work. The autobiographical Henry Chinaski character in Bukowski's stories was brilliantly portrayed to perfection by Mickey Rourke in 1987's 'Barfly', also starring Faye Dunaway. Anyone who has seen 'Factotum' should certainly see 'Barfly' to get a better look at how Bukowski wrote his character. 'Factotum' lacks the greasy seediness of Bukowski's screenplay and the fearless hopelessness of his loner hero. The inadvertent humor that bubbles through in the dark desperation of Chinaski's misadventures doesn't work for Dillon as it did so admirably for the overweight filthy blood-soaked Rourke. Rourke's character makes the pain and pleasure of the previous night's misbehavior a place-setting for yet another grueling ugly day in the life of a drunken misanthropic unknown writer. Dillon's character misses these marks in favor of a strutting, handsome, relatively clean-looking wanna-be writer that scarcely passes for any moment in that of Chinaski's story. Dunaway's sleazy heroine Wanda is the perfect complement to the ne'er-do-well Henry. The women in 'Factotum' can't hold a candle to Dunaway's 'distressed goddess' and the use of more profane sexual subject matter in 'Factotum' proves to be more of a crude distraction than a tip of the hat to Bukowski's raw and unapologetic portrayals of dysfunctional relationships. I was stunned at how many of the exact same scenes were used in 'Factotum' (Marisa Tomei buying all the stuff and charging it to the old man is an exact rip-off from 'Barfly').<br /><br />If you want to see the best Bukowski stories on film, see 'Barfly' and 'Love is a Dog From Hell' (which also goes by the title 'Crazy Love').",negative,positive,Logistic Regression
"Second movie in the boxset. Originally titled Bloodsuckers, This movie was pretty average. It is kinda boring in some parts but there is some good gore effects, but they're not great though. <br /><br />The movie takes place in the year 2210. Vampires have pretty much taken over the whole world. The V-SAN (Vampire Sanitation) Squad, which also has their own spaceship and is lead by Churchill, who is captured by the vampires, receives a message from an Earth and the team, formed by Quintana (Played by the very hot Natassia Malthe), the rookie officer Damian and the rebels Rosa and Roman (Roman being played by Aaron Pearl from Wrongfully Accused.) V-SAN later meets up with the leader of the vampires Muco, played by Michael Ironside from Total Recall. He has no plans of living peacefully with humans, as he is bent on world domination. <br /><br />While this movie was not a waste of time, I doubt I'll be putting back in the DVD player anytime soon.",negative,positive,Logistic Regression
"This film is worth seeing since it is a classic in the sense of being the very first full length film released in the process of three demention. It was not very good in its acting or story plot, but can be a great movie quiz question from an historical standpoint. It should be seen in the 3 D process with polarized lenses.",negative,positive,Logistic Regression
"We are not in the fairy tale of the naked emperor. We may confess the truth of what we see, without being stupid, confess, that this show is in many aspects just incomprehensible and that it is clear, that much of it was created out of pure intuition without real concept.<br /><br />Well, obviously many people like such stuff. I don't. I prefer well thought and planed shows. And I also confess, that the show is much to serious for my taste and boring...those love and drug stories...There are so many exciting soaps with lot of suspense (Dallas e.g.), but Twin Peaks can't catch my attention. I don't care about those people, except Cooper and Gordon Cole.",negative,positive,Logistic Regression
"Go way back to page ten of this review section, and work your way back up. Go ahead; I'll wait.<br /><br />Done? Well, then you've probably noticed the same trend that I have. You could nitpick all day long about the lame jokes, dated timing and obviously derivative plot points and shtick in 'Bogus', but this movie seems to be one of those 'hate me now, love me later"" flicks.<br /><br />Bill and Ted's biggest problem was that the original appealed to those 80's kids who followed the tends and considered themselves on the cutting edge of fashion. That worked fine for the original, but obviously bombed in 1991, when no self-unrespecting slacker would be caught dead wearing anything but flannel or admitting he liked anything about the 80's. As Ted would put it: ""Dude, this is a totally deep hole. Wanna play 20 questions?"" <br /><br />They say nostalgia goes in 20 year cycles, and that certainly seems to be the case here. Here in 2010, those of use who grew up with Cindi Lauper and Megadeth are beginning to look back to appreciate some of those pivotal films that (like it or not) made us who we are. If you're one of those who look at 'Bogus' as if it were an outdated (""Fa gs!"") ripoff, then you're missing the point and probably spent six years growing facial hair, wearing flannel and looking like you just crawled out of bed.<br /><br />In self-referencing its own origins (the Star Trek episode"" and and time traveling with a phone booth), B&T makes no attempt to hide its creators' love for homage. Quentin Tarantino, anyone? I'm not saying 'Bogus' is 'True Love,' but I do think it needs to be appreciated for what it is: a fun snap-shot of our society at a time before child psychology, Ritalin, anti-smoking ads, terrorist paranoia and the proliferation of media fear-mongering. <br /><br />So, for all of you B&T haters out there...turn off your Screaming Trees CD, get that hair out of your face, go to the beach and lighten up. Narcissistic depression and intellectual ennui are SO corporate.",positive,negative,Logistic Regression
"This film sold for one-dollar at Wal-Mart on a DVD and so I do not feel like I lost anything for watching this film, except my TIME. Enjoyed the acting of Tom Hanks, (Robbie Wheeling), who was very young looking and gave an outstanding performance considering it was a horrible script. The story is about college students who decided to play the game Mazes & Monsters, only in a very realistic setting. Robbie Wheeling has had problems in the past playing this game at other colleges and is advised by his parents to leave the game alone and get good grades. Robbie meets a very nice gal and has a romantic fling with her and once he starts playing the game, he stops making love to her and acts like a Monk. There are some scenes in the film which are taken running around the former World Trade Center and also in the Observation floor and Roof area. It is rather sad viewing this part of the film where so many human beings died because of evil in the world. This is not a very good film, except for Tom Hanks trying to keep the film above the sinking level of entertainment.",negative,positive,Logistic Regression
"It may be difficult to believe, but the basic plot of this abysmal flick has been lifted from Hitchcock's perennial classic, ""Vertigo"". To see Edward James Olmos in the part once played by James Stewart is heart-breaking; Sean Young is better, but still a poor substitute for Kim Novak.",negative,positive,Logistic Regression
"A party-hardy frat boy's sister is brutally murdered by a street gang, sending the young man into a sudden psychotic rampage. He and his buddies massacre half the city to bring his sister back to life.<br /><br />SAVAGE STREETS was released a year after this film, and was more entertaining. Linnea Quigley, who has a costarring role in this film as the sexy (and briefly nude) girlfriend of one of the guys, also starred in SAVAGE STREETS.<br /><br />This film is subpar, though it delivers enough escapist entertainment and gratuitous nudity to please its intended audience (me).<br /><br />MPAA: Rated R for strong violence, nudity, language, and some sexuality.",negative,positive,Logistic Regression
"Fred Olen Ray is a lousy director, even as far as B movie directors go, but 'Haunting Fear' is probably one of his better films. Yes, it does butcher the great Poe story 'Premature Burial' and yes, it is badly paced and uneven throughout, but it is also pretty entertaining. Scream Queen Brinke Stevens is better than usual as a pretty, fragile housewife whose worthless husband (Jay Richardson) is plotting to do away with her because he needs money to pay off a gangster (played by Robert Quarry). Delia Sheppard, a veteran of many early 90s soft-core movies, actually gives the best performance in the film as a slutty mistress. You will also enjoy small roles played by Karen Black as a psychic, Robert Clarke as a doctor and Michael Berryman in a nice cameo in one of the better scenes. The ending didn't make much sense!",negative,positive,Logistic Regression
"After Matt Dillon's phenomenal performance in CRASH, most will probably rush to pick up a copy of FACTOTUM to see if Dillon is for real or simply got a lucky rebound from a great script.<br /><br />Well, Factotum certainly has its moments, but the plainness of ...everything will most likely turn viewers off. However nothing should be taken away from Dillon. His performance is wonderful and full of excellent deadpan humor, proving he's a solid actor with significant chops; it's just a shame about the directing and script.<br /><br />The story is about Henry ""Hank"" Chinaski (Dillon) and his refusal to conform to anything resembling normalcy. He quits or gets fired from jobs in mere minutes, only to find himself back in a dreary pub meeting even drearier women while trying to write a nonconformist novel. We never really know what the novel is about except that it involves ""everything"" (cancer, movies, you, me).<br /><br />Skipping from workplace to workplace and constantly returning to Jan (Lili Taylor, THE HAUNTING), a loser girlfriend who's just as dispiriting as himself, Hank tries vainly to discover what his life is supposed to hold for him. Whether he ever learns what that is is up for interpretation. Some may say that he never does, while others might argue that his life is simply a path to obscurity.<br /><br />Regardless, there's not much substance to Factotum even with Matt Dillon's fine performance. The story meanders through Hank's life without much thought given as to where to take the audience. And that's a shame. Dillon's performance would've shone even brighter if given a decent script.",negative,positive,Logistic Regression
