text,actual_label,predicted_label,confidence
"@ddlovato hey demi, dont listen to the critics.. they can hurt you seriously you're so beautiful! take a mirror and check it luv ya!",0,1,0.557024
Well wow is officially on hold now! Just burnt my sausages though - Well wow is officially on hold now! Just bur... http://bit.ly/4sRql,0,1,0.57918376
@jimisahippy so true! when do you get home/are you home/are you ever coming back to cherry hill? keegan said you're gone until august,0,1,0.5178283
"just so YOU know, i feel like i just washed my soul today.",1,0,0.6826356
@ashleymiranda1 lol iphone.. :-/ lol i want the new one that came out today..,0,1,0.54003537
is awake. just typing away. http://plurk.com/p/xpkpd,1,0,0.5194572
@Dog_Crazy we know that but some 2legs are not so smart ),1,0,0.55076617
"@RobKardashian u just nevr kno. I H8 storms &amp; flyin; accidents happen Surprised yer NOT hungry, LOL!!!",0,1,0.5948196
"Everybody tells me the weather was awfully rough last night, hope everyone in the Ham is ok. Me? I must have slept through it.",1,0,0.65549767
We've arrived in Evanston. And the awesomeness is just beginning.,1,0,0.54244107
"I wish i was at Silverstone with the boys oh well, at least they're in pink for today!",0,1,0.5408423
"@zeegirl602 Uh... If you think that'll help, I s'pose...",1,0,0.54249096
It was nice seeing everybody the other day.,1,0,0.52485937
"cleaning pool, finally summer pool party soon ? yeah ?",1,0,0.5227841
i gotta get me an instrument that makes the boys appear,1,0,0.52474827
@Karen230683 aww thats good ya feel betta i'm fine soo tired tho.. gonna head to bed soon,1,0,0.5375036
tweet tweet... playing disney games,1,0,0.5522608
'pofavÃ³ twitter no te vuelvas a caer,0,1,0.52521217
Morning! Half past 8 and we're off home buy caravan buy Yarmouth buy wind farm. I plan not to be back here with parents for a long time,1,0,0.5968391
One Love..One Heart....,1,0,0.5969835
"hey hunnii (Jenny), come back. Me miss you much. We haven't even hang out. Can't wait when you're back from Europe miss you!",1,0,0.51203173
gettin ready to set up for my party...,1,0,0.5730663
@stlkdarin -- oh i'm at community college... it's affordable transferring out soonish... which is scary. don't really like college much.,1,0,0.6423925
Good morning now I don't have to go in until 1. Now I have to closeeee. Blah lol.,1,0,0.5721759
@justads I hope everything is alright Ads. Thinkin of u whatever it is. Hope ur OK. X,0,1,0.549505
Light gayee #Pakcricket,0,1,0.57280385
just coz you said you aint been to sleep..was joking babe,1,0,0.6258554
What a tiring job i have !!,0,1,0.54154164
went to the park with no sign of trouble,1,0,0.61335135
@peace_in_green i hate chemistry too! haha,0,1,0.547252
@lawliett04 I have floor seats they're nowhere near front row but it's at least something.,1,0,0.6075578
"@kristykristyy ahaha, work in 10 minutes (Y) gahh it hate it, i could have done something else today",0,1,0.5015051
"@adamCHRISwood Sorry bud, but Pushing Daisies WAS cancelled. ABC's being nice enough to air the last three episodes. I love that show",0,1,0.50090176
@NBC12Photog I was suppose to work today,1,0,0.5209979
@Nic0pic0 good seeing you too dahlin...miss all o yas but things need to be done,1,0,0.5043839
Got home from running goose pond not too long ago. Just waiting to hop into the shower before lunchy. Then hitting the park with Celia,1,0,0.58921725
"dinner soon ... ~I'm holding on to something that used to be there hoping it will come back, knowing it won't~",1,0,0.633197
"I have a new friend His name is Bunny, James Bunny I gave him that nickname",1,0,0.5638054
"@Serendipi he's next to me now, what do you want to ask?",1,0,0.5433354
"@TravisHerche oooh. That's pretty unique. I'd show you my teddy bear, but I don't have an iphone.",1,0,0.5097748
"@helen418 sup dude, how's all? wishing i was still back in glasgow although my mother made me go to keep fit while there - bad times! xx",0,1,0.54277134
@KimKardashian YES!! THATS THE WORST!!! U MiSS UR HAiR A WHOLE LOT WHEN U CUT iT..,0,1,0.5145548
Goin home,0,1,0.5010731
woahhh jb r in dallas already!,0,1,0.59106946
@PinkTribble Heh! Who has the space for an altar? (*grumble - property prices) ;p Easier with battery powered scented candles? Mmm Mandle,0,1,0.58071977
@chelseanico the pink pair. Just because they look like they'd hurt someone more if they got kicked in the face.,1,0,0.6077998
3 year anniversary with Maggie today Unfortunately I've gotta work til 7...,1,0,0.6207271
if the rain truly helps then don't ask for it to go away.,1,0,0.6087512
got the monday blues,0,1,0.5351483
i cant tomorrow im doing something all day! dang!,0,1,0.56211483
@Jennifalconer I love 2Grand too (cos my dad was a singer and would've loved me to be able to sing) but they're not likely to win. Aiden,1,0,0.5548906
@itschristablack Do you realize how lucky you are to be playing wiffle ball with the Jonas Brothers? i would kill to do that,1,0,0.5225273
About to watch the parade then fireworks,1,0,0.5217125
kroger with padre,1,0,0.51091653
Wanted is officially the best movie ever. Just finished watching it for the 3rd time,1,0,0.52544624
@tkellenberger not sure about my schedule yet but why not...I'll improvise tomorrow. You mind sending me Carsten's number?,1,0,0.5613926
Enjoying the hell out of inFAMOUS. Cole is so f'ing badass.,1,0,0.61784756
@renn what about the usability of http://www.hyves.nl,0,1,0.5517821
@Willofmyown summer is officially over.,0,1,0.5370198
@tommcfly: I want to go today to the concert i love mcfly,0,1,0.5595361
"Back from a visit to town, its nice outside here now",1,0,0.54231054
@angietoomsen Eek! I totally should have drawn you a map -- that place is patently unclear.,1,0,0.53252494
"@luckytrinket WTF :S.Fuckin mosquitoes lol Aww,hun.Ok ttyl,love *Hugs* *-*",0,1,0.5615869
@pinkbunny69 were are you dolly?!?! when you coming back to us.. we all miss you xxx,0,1,0.5442444
@frisbeelee I know SoSO upset about it! Now we have to hope they can THRASH the bulls!!! ... Yipes!,0,1,0.5410914
@fleenguy Glad I'm not the only one. Maybe bloggers don't count.,1,0,0.5808012
It's good to be home,1,0,0.5231351
realizing that my baby and i are thinking about eachother at the same time! wow,1,0,0.5145847
"@foxylovesme Thanks,Debbers. I hate beig siiiick. *cries*&lt;3",0,1,0.54913914
Time to get up and start my fun filled day!!,0,1,0.6407119
@smooth132,0,1,0.5651831
Spanish classe I want come HOME !!! :|,0,1,0.57835305
Spotted an awesome postmodern couch in Lucketts today but Wife 1 Me 0,1,0,0.5787498
-@Custard_Socks HA! WIN! Hope you've been flicking the Vs at people as well ;) I'm helping to destroy the living room at the moment...,1,0,0.53135794
Watching May'n and ä¸­å³¶æ lives since I'm all out of Macross Frontier stuff. Sheryl &amp; Ranka concert for 2010 AX please?,0,1,0.5058421
very good performance from SuBo... still don't want her to win though... bring on Diversity! #bgt,1,0,0.515669
"@JamarHerrod â¢ No dear, just TV @ night",0,1,0.5416911
@ddlovato r u there lol. and r u replying to comments atm? Hope all is well and hope the nose is ok -Stuffy- or was that just Tom lol x,1,0,0.52595943
gees!! i'm suprised this many people are awake right now ha hhahha i feel so talkativee,1,0,0.5469421
just coming back from a customer briefing in Stuttgart. Went well,1,0,0.5468424
going out.,1,0,0.6020406
@JOEsus YAY the first illness you get that is not because of some kind of sexual activity!,1,0,0.534654
"@elle1021 I'm still trying to figure out how to do the code, lol. i'm glad your having fun!",0,1,0.5934435
"@dougiemcfly bloody bluewaters open i had 2 work puttin myself thru college, totally sucks!...an i think heaven looks like mcfly!",0,1,0.55204076
"@philwest64 Hugs. Sorry to hear. Most medics are morons, we should be receiving better treatment than this. Good luck &amp; take care x",0,1,0.5076938
"@samantot Grabe, diba super supportive sa SRCC? Hay grabe, I can't believe it talaga.",0,1,0.5187597
"Huge day today: shopping, CA Adventure Park &amp; meeting the mouse himself at Disney. Following this a delish meal. 1 day to go",0,1,0.5697377
