text,actual_label,predicted_label,model
its that time to buy disneyland season passes,positive,negative,Logistic Regression
@starmochakisses I never saw In Too Deep!,negative,positive,Logistic Regression
good morning! on my way to school,negative,positive,Logistic Regression
aaarrgh... after 40% taxes and 30% for espp and 401k these bonus payouts don't excite me only consolation is this lot better than nothing,negative,positive,Logistic Regression
@donmelton you can get some two blocks away,positive,negative,Logistic Regression
Just ordered another 2-year subscription to Bust Mag. I only have one left on my current subscription. Me love Bust big time.,negative,positive,Logistic Regression
"I saw magic was a trending topic and got excited, I thought it was as in &quot;magic happens&quot;, but most was just basketball oh well!",negative,positive,Logistic Regression
@claytonbell they are an awesome couple and dang homie...wow.,negative,positive,Logistic Regression
"is trying so hard to not worry and be at peace despite her circumstances, but wonders why some christians are the ones making it so hard.",negative,positive,Logistic Regression
Loving @babygirlparis and the hype surrounding her Dubai visit. Shame that most of the BFF contestants are model wannabes,negative,positive,Logistic Regression
"Bored, but very calm",positive,negative,Logistic Regression
"@ShuffleArt not so bad lah. Ipoh was at 38 and shenzhen, beijing so much lower but dry",positive,negative,Logistic Regression
@ChrisGBaillie A lucrative business model perhaps! Would love an allotment but waiting lists are 2-5 years round here,negative,positive,Logistic Regression
i wan to upload videooooooo plsssssss! #fb,negative,positive,Logistic Regression
Going back to Manchester later today can't wait for college to be over. No more early nights and waking up at 7 o'clock,negative,positive,Logistic Regression
Stavros Flatley and shaheen jafargholi are in the finals!!,positive,negative,Logistic Regression
"cut myself several times, while shaving but worth it!",negative,positive,Logistic Regression
Dmoms if you never peel the orange you won't taste the fruits of your labor!!!,positive,negative,Logistic Regression
@loubeejones i no what u doning 2da?? x,positive,negative,Logistic Regression
@thecraigmorris shit! i had the last banana for breakfast! :o( 'ello x,positive,negative,Logistic Regression
Have you seen the ArtFire Fusion Studios? Lock in your rate now! http://bit.ly/UN9mf,positive,negative,Logistic Regression
@ThisisDavina Every girl needs a Matthew! x,positive,negative,Logistic Regression
@melbournegirl77 Awww thanx babe had 2 stay up..im at work lol!,positive,negative,Logistic Regression
since she's sick.,positive,negative,Logistic Regression
Just letting my flock know I'm still alive at dinner w hubby in hilton head. Still very much on vacay!,positive,negative,Logistic Regression
@chelsearoseee i know .. did you here shes in london on wednseday,negative,positive,Logistic Regression
