text,actual_label,predicted_label,confidence
"I rented this movie the other day b/c I love romance stories, but this has got to be the worst one I have ever seen in my life. I find it hard to believe that Sam would fall in love with Kelley after they've said hardly no more than 2 words to each other when she has a great long-time boyfriend who's devoted to her completely. I thought Kelley was a major jerk throughout the movie, and he never changed at all. The only good thing about the movie was Josh Hartnett. I thought he did a wonderful acting job, and I'm going to start watching more movies of his.",0,1,0.5207613
"I have to admit that I went into Fever Pitch with low expectations. It's no huge revelation for me to say that Jimmy Fallon's last movie (Taxi) was Catwomanly bad, and the trailers for Fever Pitch were all right but didn't mesmerize me. I was already preparing some cheesy baseball puns for my review...<br /><br />""I like Jimmy Fallon, but Taxi was strike one in his movie career. Well, now we've got steeeeee-riiiiiike twoooooooo! One more strike, and it's back to SNL!"" or ""Buy yourself some peanuts and cracker jacks, but don't buy tickets to Fever Pitch. You'll walk out of the theater and never go back!"" Then the movie had to go and be way more entertaining than I was expecting. But hey, I couldn't let my puns go to waste, right? Another reason I thought I wouldn't care for the movie is that I hate the Boston Red Sox. My whole family hates 'em. The mere mention of Pedro Martinez' name sends me running to the bathroom. Oh man, hold on...<br /><br />...All right, I'm back. Anyway, my mom, who is a St. Louis Cardinals fan, still believes the World Series was rigged last year. She refuses to believe the Sox won it legitimately. But I'm man enough to admit that Fever Pitch caused me to sympathize, albeit only slightly, with the plight of Red Sox fans.<br /><br />Anybody who has a passion for sports will be able to relate to this movie on some level. Unless you have a favorite sports team you can't fully understand the extreme highs and lows that a fan such as Fallon's Ben can go through. There's nothing quite so fresh as the smell of a new season and nothing quite so smooth as a clean slate. Well, figuratively speaking. It's the joy of being a sports fan. ""Wait 'til next year,"" becomes your mantra, your motto, your prayer - and Fever Pitch effectively captures that essence.<br /><br />I love the fact that the movie takes a fictional story and throws it against the real-life backdrop of the Red Sox' improbable World Series run last year. I don't love it so much that I want to marry it, but you know what I mean. I expected this to be handled in a fairly cheesy manner, and while some of the humor is a little silly, it's actually pretty realistic.<br /><br />You see, Ben's uncle took him to his first Red Sox game when he was 7 years old, and when he died he left Ben his two season tickets. Ben hasn't missed a game in 23 years. At the beginning of each season he has a draft day where he and his friends get together to figure out who gets to go to which games with him. He makes everybody dance for the Yankees games and whenever somebody complains he threatens them with tickets for the games with the Royals (sorry Mr. Shade) and the Devil Rays. It's a very good scene, and it works so well because I actually know of people who do the ""ticket draft day."" I also must admit that I can relate to when Ben goes to dinner with Lindsey and her parents. The Red Sox are playing a road game, but instead of watching it live on TV Ben decides to tape it. One of the most dangerous things in life is taping a game and then being in public and trying to avoid hearing the result. Been there. It's a very tense and scary situation. Weeeeeell, Ben enters the danger zone when a guy shows up at the restaurant and mentions watching the game. Ben immediately covers his ears and starts shrieking like a banshee so as not to hear the outcome. Lindsey is embarrassed, and her parents don't know what to think. Yeah, sports fans can be weird, I don't deny it. But it's real.<br /><br />Now if you're expecting the crude, edgy stuff that the Farrelly brothers are known for then you could be disappointed. They do have their moments though, like when Ben says he likes how Lindsey sometimes talks out of the side of her mouth ""like an adorable stroke victim,"" but overall this is definitely a softer, more romantic side that the bros are putting on display.<br /><br />That's not to say that the movie ever gets way too sappy. Thankfully, when the sap starts to ooze a bit, the Farrellys know when to pull away. A romantic moment with Lindsey jumping on the field and running over to Ben to declare her undying love for him turns into Ben sincerely replying, ""You've gotta tell me about the outfield. Is it spongy?"" Jimmy Fallon proves that with the right material he can handle himself well on the big screen, and Drew Barrymore remains a constant source of romantic comedy charm. Fever Pitch is just good, solid entertainment that takes a somewhat fresh look at the romantic comedy genre. It's a movie that guys and gals can both relate to. Particularly the guys who practice sports fanaticism at some point during the year and the ladies who must deal with 'em.<br /><br />Now if the Red Sox fans could please shut up about the ""Curse of the Bambino"" I would appreciate it. My Memphis Tigers have NEVER won the NCAA basketball championship, so I officially declare my plight greater than yours.<br /><br />THE GIST Fans of Jimmy Fallon, Drew Barrymore, romantic comedy, the Red Sox, baseball, or sports fanaticism in general should consider giving Fever Pitch a look. I wouldn't go out of my way to rush and see it at the first available time, but it'll make a great matinée.<br /><br />Rating: 3.25 (out of 5)",1,0,0.59261835
"This is what happens when you try to adapt a play from the theater. Look at the end of the picture, totally theatrical.<br /><br />With a reminiscent of Les liaisons dangereuses the final steam-less speech try to make us think that the whole (and deep) theme of this matter was the manhood. Who cares by this point? It was about manipulation. And so the audience feels after this movie has ended.<br /><br />Young directors: A play is told with the words more than actions. A film is the opposite most of the times.<br /><br />And I'm not talking about the gay theme, overly exploited without a point ('cause there's no explanation of this topic considering the so called ""philosophic"" or presumptuous basis) to the level that this film should have been called Grand Gay",0,1,0.5997324
"Here is one movie that is genuinely funny at every single moment that it covers. How can it not be given that this movie stars the creators of South Park and is directed by David Zucker? When I first saw this movie, I did'nt immediately realise that Coop and Doug were really Matt and Trey but their talent in acting and writing came out as quite impressive. I was pleasantly surprised to learn that they were really Matt and Trey, later on. The humor is sometimes crude, sometimes foul, sometimes brilliant, sometimes subtle, sometimes loud and sometimes stupid but overall, this is one hell of a movie that is without doubt, under rated. Well actually, its insane. Totally insane.",1,0,0.5048354
"Although Humphrey Bogart got star billing in King Of The Underworld, I'm willing to bet he didn't thank Jack Warner for it. In fact this film was one hollow crown.<br /><br />King of the Underworld was supposedly a remake of the Paul Muni film, Dr. Socrates, but given Humphrey Bogart was in the cast, the character is written more like Duke Mantee in The Petrified Forest. He even has an English writer along in the person of James Stephenson.<br /><br />Kay Francis and John Eldredge are a pair of married doctors and Eldredge pulls off a tricky bit of surgery on one of Bogart's henchmen. Bogey's a man who appreciates good work done on his behalf and gives Eldredge $500.00 and there's more where that came from if he plays his cards right. Eldredge who has a gambling problem sees a good way to get some undeclared income. <br /><br />But when he's killed in a raid on the gang's hideout, Francis is also thought to be involved by the law and the American Medical Association no matter how much she protests her innocence. It's no good and she and her aunt Jessie Busley move to a small town to get away from the notoriety.<br /><br />Of course the notoriety and Bogart and an itinerant Leslie Howard like writer in Stephenson all meet up with her again. But Kay is plucky and resourceful to say the least.<br /><br />Bogart's character was ridiculous, no wonder the poor guy was screaming for better parts. He's a gangster who both shoots down people without mercy and gives his henchmen hotfoots just for laughs. He's concerned about his image and therefore kidnaps writer Stephenson to ghost write his autobiography and of course confesses enough to burn him in all 48 states. And then let's Kay Francis completely outsmart him, hard to believe he was king of anything.<br /><br />Definitely one of the lesser works for either of the stars.",0,1,0.5901356
"This is so bad I don't know where to begin.<br /><br />The lead role is a good starting point. It is a supreme Mary Sue character that has few things in common with the original one from the book, who was (a bit) more credible. No, this one is invincible, infallible, indomitable, and insipid even beyond the overinflated standards that this ""chicks with swords"" era that our medias are spinning out of late. She is a twenty-something top-model, thin as a match yet rich, already a leader in her academic field, a kung-fu master, a natural sniper and seems to have enough authority to naturally trump anyone official like puny FBI agents. She is God.<br /><br />To balance it out, she is supposed to be socially awkward (due to her typically harsh upbringing that transformed her into a ""Spock"") which gives us some delighted moments where she wonders what is ""Star Wars"", or ""American Idol"", but yet when it's really important she can conveniently reveal herself as a top negotiator and diplomat, because she is so superior, ya know. To top it out, she is played by a wooden actress.<br /><br />The more talented Boreanaz serves as a faire-valoir token for this construct, acting as a bumbling comic-relief and house ""Watson"". In fact, everything in there is a pop-parody of better works like Sherlock Holmes, CSI and X-Files, from which it tries to emulate the sexual tension between main protagonists. It is however cheaper, as this is delivered with all the subtlety of an elbow poke in the ribs, but a million million poor factory girls will doubtlessly buy into it, hence the crazy rating this turkey gets.<br /><br />In fact, the lowest common denominator goes a long way in this sad puppy, resulting in titillating sex details from the legion of sidekicks that aim to pass it out as daring and trendy, while the overall tone of the show carries an obvious neo-conservative view on things.<br /><br />Story-wise, there's not much here to feast upon, as crimes (that always start out with some gruesome remains) are resolved using non-existent technology while the ""squints"", lovable but so wrong (the women less than the guys) goes on varied theories, all of them futile as the main character has it all from the start, and once it is established she goes out and then punch the guy, typically a real tough hombre, with a spin kick here and a slapper there. The end.",0,1,0.58239716
"I saw the original ""Chorus Line"" on Broadway God knows how many times and felt the passion, despair and joy come from this live experience in the theater. Michael Bennett knew he would have to re-imagine ""Chorus"" for the screen but could never figure out how to do it. If the man who came up with the show is stumped - that should answer your question. There are some shows that are simply made to be seen live - with an audience. However, Richard Attenborough fresh of the musical work of ""Ghandi"" and dancing with animals in ""Doctor Doolittle"" ended up directing this film which bore little to no resemblance to the stage show. Horrible songs were added (Surprise! Surprise!), great songs were dropped or given to other characters (which didn't make sense). Michael Douglas was mis-cast. People that couldn't dance tried to act and there was the sexy ""Landers"" woman who couldn't sing, act, or dance - I guess she had just finished being Ghandi's wife. The dances by Jeffrey Hornaday look like nothing more than schlock from ""Flashdance"" rejects and nothing works. I sat there stunned at how something so riveting and emotional could be drained to nothing. If you truly love this show and it is coming back to Broadway in 2006 - see it but don't think that the long running musical event that was ""A Chorus Line"" has any thing at all to do with this film.",0,1,0.5996831
"The Elegant Documentary -<br /><br />Don't watch this movie ... if you're an egotistical know-all student of physics. This much less than one percent (miniscule fraction) of the population may find that this show just tells them what they have already learned and already know.<br /><br />Do watch this movie! - If you're one of the massive majority of people that fall into the greater than 99% of the population that does not study or already have a sound knowledge of the theories of physics including Relativity, Quantum, String and M-theory.<br /><br />What a brilliantly architected documentary. Starting with some helpful historical background you will be lead step by elegant step into a Universe of pure magic - and dimensions beyond. I have always had a huge appreciation of Mathematics. This movie can easily give you an insight into what an exquisitely beautiful language mathematics is without making you feel like you're about to fail the grade.<br /><br />The show is repetitive at times as the original format was a mini-series split over three shows. It therefore makes sense to give us polite little reminders of the principles being presented. I found this immensely helpful as it kept reminding me of the multitude of questions and possible answers that make up this amazing tapestry of our very existence.<br /><br />We are all (and everything around us) is vibrational-energy with a natural tendency towards harmony. This movie may blow your mind - or at least help you realize that the universe is far far bigger than that which we see around us (even with the Hubble Telescope) and far far smaller than the protons and neutrons within the atoms we learned about in high-school. M-theory holds many magnificent magnitudes of 'possibility'.<br /><br />It just seemed so appropriate that all of this elegance should by it's very nature move (by admission by the many brilliant scientists presenting) out of the realm of Science and into the realm of Philisophy.<br /><br />You do not have to be religious at all to feel like this movie brought you one step closer to God.<br /><br />Bravo Brian Greene. Well done indeed.<br /><br />P.S. If you're interested in feeling even more comfortable and at home in your place in the Universe and would like some more insight into the 'possibilities' Quantum mechanics blended with Spirituality (of all things) can bring then I highly recommend that you also watch ""What the Bleep!? - Down the Rabbit Hole"". Yes I know they make a few silly mistakes by suggesting a Shaman may not be able to see a boat if he hasn't seen one before (my eyes process light reflections just fine - I see things everyday that I've never seen before) and brain cells are cells in the body that actually don't divide. But if you can get over these little hurdles and put down the things you don't like and hang on to those that you do - there is a lot to like about this film.<br /><br />Then watch ""The Secret"" (2006 documentary about The Law of Attraction - search for IMDb title ""tt0846789""). This information just might change your life profoundly - forever. If you search deeper you might even find the Universe is talking to us with thought (if you'll listen) - and some are - and that is truly incredible. There is a modern day Jesus/Mohammad/Buddha (those, among others, that history suggests have communicated with the non-physical) alive today and she lives in Texas. I know some of you know what I'm talking about.<br /><br />I do not consider myself religious by any traditional definition but I have never felt more at home or as comfortable in the Universe as I do now.",1,0,0.6040474
"I didn't at all think of it this way, but my friend said the first thing he thought when he heard the title ""Midnight Cowboy"" was a gay porno. At that point, all I had known of it was the reference made to it in that ""Seinfeld"" episode with Jerry trying to get Kramer to Florida on that bus and Kramer's all sick and with a nosebleed.<br /><br />The movie was great, and surprisingly upbeat and not all pissy pretentious pessimistic like some movies I can't even remember because they're all crap.<br /><br />The plot basically consisted of a naive young cowboy Joe Buck going to New York trying to be a hustler (a male prostitute, basically), thinking it'll be easy pickings, only to hit the brick wall hard when a woman ends up hustling HIM, charging him for their sexual encounter.<br /><br />Then he meets Enrico Salvatore Rizzo, called ""Ratso"" by everyone and the cute gay guys who make fun of him all the time. You think of him as a scoundrel, but a lovable one (like Han Solo or Lando Calrissian) and surprisingly he and Joe become friends, and the movie is so sweet and heartwarming watching them being friendlier and such and such. Rizzo reveals himself to actually be a sad, pitiable man who's very sick, and very depressed and self-conscious, hates being called ""Ratso"" and wants to go to Florida, where he thinks life will be much better and all his problems resolved, and he'll learn to be a cook and be famous there.<br /><br />It's heartwarming watching Joe do all that he does to get them both down to Florida, along with many hilarious moments (like Ratso trying to steal food at that hippie party, and getting caught by the woman who says ""Gee, well, you know, it's free. You don't have to steal it."" and he says ""Well if it's free then I ain't stealin' it"", and that classic moment completely unscripted and unscheduled where Hoffman almost gets hit by that Taxi, and screams ""Hey, I'm walkin' here! I'm walkin' here!""), and the acting is so believable, you'd never believe Joe Buck would grow up to be the distinguished and respected actor Jon Voight, and Ratso Rizzo would grow up to be the legendary and beloved Dustin Hoffman. It's not the first time they've worked together in lead roles, but the chemistry is so thick and intense.<br /><br />Then there's the sad part that I believe is quite an overstatement to call it ""depressing"". Ratso Rizzo is falling apart all throughout the movie, can barely walk, barely eat, coughs a lot, is sick, and reaches a head-point on the bus on its way to Florida. He's hurting badly, and only miles away from Miami, he finally dies on the bus. The bus driver reassures everyone that nothing's wrong, and continues on. Sad, but not in the kind of way that'd make you go home and cry and mope around miserably as though you've just lost your dog of 13 years.<br /><br />All in all, great movie. And the soundtrack pretty much consists just of ""Everybody's Talking'"" played all throughout the movie at appropriate times. An odd move, but a great one, as the song is good and fits in with the tone of the movie perfectly. Go see it, it's great, go buy it",1,0,0.5160799
"For those deciding whether or not to watch this movie and are reading these comments for insight, I first offer these four words: Don't waste your time! ""Chungking Express"" was shoddily filmed, slapped together quickly and seems as though it were conceived in its entirety by someone standing in line at a Hong Kong Burger King. I can't remember ever watching a film with an assortment of such one-dimensional characters trying to work their way through a script this mundane! It's an absurd effort with philosophically ridiculous dialog (a man wanders into his flooded apartment and offers the stunning revelation that ""tears can be dried with a tissue, but water takes time to mop up""). The same character is also seen carrying on a deep, meaningful rapport with his towels, soap, stuffed animals, dirty laundry, etc. The shaky, wandering, hand-held camera-work was another annoying feature I could have done without. And if that isn't enough to make you puke in your popcorn, we hear the old 60's ode ""California Dreaming"" by the Mamas and Papas blaring over the soundtrack over and over again during a particularly lengthy sequence.<br /><br />Quentin Tarantino was responsible for bringing this loser to America through his Rolling Thunder Productions company, though I cannot for the life of me figure out why a man with his talent would bother. He was known to have remarked, ""I'm happy to love a movie this much."" A lot of us, though, hope he will concentrate on making his audiences happy with more worthwhile discoveries in the future.",0,1,0.54029644
